,Beaver Creek,Kentwood,5.61,profiles,Q Total,W.S. Elev,
,Beaver Creek,Kentwood,5.61,03JAN2014 0000,2.8289e-06,64.6999,
,Beaver Creek,Kentwood,5.61,04JAN2014 0000,49.5591,64.8721,
,Beaver Creek,Kentwood,5.61,05JAN2014 0000,99.5186,65.1522,
,Beaver Creek,Kentwood,5.61,06JAN2014 0000,149.7954,64.7773,
,Beaver Creek,Kentwood,5.61,07JAN2014 0000,199.1755,65.6039,
,Beaver Creek,Kentwood,5.61,08JAN2014 0000,150.62,64.7843,
,Beaver Creek,Kentwood,5.61,09JAN2014 0000,100.0475,65.1547,
,Beaver Creek,Kentwood,5.61,10JAN2014 0000,50.4043,64.1555,
,Beaver Creek,Kentwood,5.61,11JAN2014 0000,0.084591,64.6999,
,Beaver Creek,Kentwood,5.61,12JAN2014 0000,49.5591,64.8721,
,Beaver Creek,Kentwood,5.61,13JAN2014 0000,99.5186,65.1522,
